timestamp_(min),feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
38,35701826,4595841,84127,72854,180818,35242,5260368,1528,2248,16603,38565,5004049,107465,106296,4952812,14377,6077701,738,4118250,0,2815,0,382,7240,1694
39,64970821,293341,2027,25241,40044,336833,13415530,8970,20537,3306,10822,2744700,23631,10579,754163,2832,23578851,2736,4677474,0,6494,53,17797,4237,1294
40,51655468,499405,18203,25486,96705,56854,20648771,39,1237,9890,24125,2957744,82068,9981,418422,4780,21509814,248,2865146,0,48,0,5102,1567,815
41,34095058,6496104,142612,12906,68300,293358,16142474,2067,25743,13168,51003,4094551,186840,159237,6192340,20491,5410028,4268,3512662,0,1711,4,15892,18647,5955
42,39230346,6028222,136110,81973,336753,74421,4978730,330,3467,1248,14321,3979206,86712,143100,6207061,11529,4856029,506,4063786,0,1435,2,21054,19002,7027
43,36655610,6508832,123917,10667,43160,54496,4947310,1766,2743,11920,41624,3279116,221806,134159,6167175,11040,5272829,595,4111314,0,571,0,2846,22585,5776
44,24424733,4315294,105814,40381,139629,182358,3971021,2014,10701,4238,23113,4142186,216862,117860,5825355,8750,4565413,1418,3477297,0,2609,0,472,2707,1254
45,32133390,5894847,137045,19877,133526,112537,3449032,1758,7898,8599,23785,3918009,78283,125994,6835903,2904,5124690,1424,1337196,0,1693,1,4919,8720,5653
46,41784866,4228351,75920,30590,93558,115603,8811590,1657,12886,16401,36656,2789216,96518,20263,568129,9216,15306557,1972,2387561,0,1275,22,13751,7179,1526
47,41954150,2134287,35820,51087,177223,91069,12335202,715,1597,20192,28194,3393867,56039,22945,1605803,11109,15891390,982,2985179,0,609,6,22673,19429,1264
48,43392218,3583093,55893,62521,89783,244306,12700083,1633,3583,28285,46508,3292198,126429,48431,3357052,14397,16861029,1547,3290634,1,1659,4,26956,19941,330
49,49173667,3908642,58090,62932,100232,131794,18137158,1181,2763,23577,57005,3407775,159363,137822,6773879,24653,7186577,3531,4083184,0,3158,4,19724,30812,5364
50,36455810,5806306,126117,39261,148014,217413,7426148,4198,10543,13293,23225,4479693,75198,111093,5935623,19962,4918666,3245,3021443,2,3645,12,10895,7346,1064
51,40193446,7119073,152408,17273,30665,149635,5978187,2094,2810,16596,39731,3938070,122362,132704,6593635,12938,5971812,1083,3721240,0,2091,32,15102,11555,2994
52,35684046,5610974,118692,87021,229028,179330,5381639,757,5560,19189,46326,4813185,124822,143886,6728913,15589,6158066,1890,5128857,0,1195,32,15901,5684,764
53,47362898,8900184,173679,31289,81895,371407,5979791,2519,22923,10791,29664,4000379,139589,121947,6416738,10552,11073961,4444,4970589,0,2533,56,16208,5725,960
54,56476786,1746539,32051,44447,119852,127153,18694337,1453,10537,4615,12467,3159514,25793,9403,446208,4734,24492473,2728,2652192,0,2182,0,5399,1798,814
55,71830953,439568,9066,27272,79625,74847,26511824,95,1798,4404,22726,3402480,92014,45416,1876047,9658,15616670,629,2978516,0,228,6,8464,17474,6998
56,33378720,6156482,125129,15374,69004,107733,5846389,2202,5263,569,15879,3589862,90484,139140,6801364,5119,5273419,679,4158327,0,299,0,7164,4803,1437
57,40615071,6033389,131916,76050,321519,97555,4607259,455,6056,631,5944,4398658,57858,88425,4386305,8738,3467775,1177,3295313,0,1715,1,7179,11467,3808
58,36957327,6890268,138376,24839,78268,54166,5142605,1471,2928,10938,41618,4256341,134983,137143,6674445,4985,5119390,415,3535625,0,143,0,976,4500,1184
59,18776098,3809884,52693,96503,156804,355293,4426465,1570,28835,22036,42261,2427774,109738,65853,4760506,8699,4427856,1731,3369092,0,1174,0,2874,15702,4299
60,27316917,4906626,102559,8561,61717,85153,4032711,75,2431,15495,34128,3007729,136747,65161,2581621,13739,2658585,4725,2065142,3,1512,0,273,3415,1122
